adress,area,floor,price,rooms,total_floors,year
"Самара, Красноглинский район, микрорайон Крутые Ключи, улица Маршала Устинова, дом 7, Красноглинский, Самара, Самарская область",33.9,2/3,1650000,1,3.0,2012.0
"Самара, Никитинская улица, 66, Железнодорожный, Самара, Самарская область",33.0,3/5,2370000,1,5.0,1963.0
"Самара, улица Дзержинского, 24, подъезд 1, Железнодорожный, Самара, Самарская область",43.5,5/5,2299000,2,5.0,1962.0
"Самара, Теннисная улица, 29, Промышленный, Самара, Самарская область",21.0,4/5,950000,1,5.0,1976.0
"Самара, проспект Карла Маркса, 10, Ленинский, Самара, Самарская область",73.0,9/10,4300000,3,10.0,1994.0
"Россия, Самарская область, Самара, Ново-Вокзальная ул, 164, Промышленный, Самара, Самарская область",115.0,5/10,6550000,3,11.0,2013.0
"Стара-Загора 293, Кировский, Самара, Самарская область",64.0,9/9,3700000,3,9.0,1989.0
"посёлок Сухая Самарка, Самара, Белорусская улица, 40, Куйбышевский, Самара, Самарская область",35.8,9/10,1850000,1,10.0,1997.0
"Самара, улица Георгия Димитрова, 18, Кировский, Самара, Самарская область",22.0,5/9,1550000,1,9.0,1975.0
"Самара, улица Георгия Ратнера, 5, Советский, Самара, Самарская область",46.0,3/5,2050000,2,5.0,1962.0
"Самара, Алма-Атинская улица, 146, Кировский, Самара, Самарская область",59.8,3/9,3050000,3,9.0,1975.0
"Самара, улица Фрунзе, 146, Ленинский, Самара, Самарская область",52.5,2/5,4499000,2,5.0,1931.0
"Самара, проспект Металлургов, 11, Кировский, Самара, Самарская область",90.0,3/4,3600000,4,4.0,1955.0
"Осипенко ул, 2, Октябрьский, Самара, Самарская область",67.3,5/9,6200000,3,9.0,1970.0
"Московское Шоссе, 139, Промышленный, Самара, Самарская область",50.0,3/9,3100000,2,9.0,1977.0
"Самара, Красноглинский район, посёлок Управленческий, Крайняя улица, 6, Красноглинский, Самара, Самарская область",55.0,5/5,2700000,3,5.0,1977.0
"Самара, Революционная улица, 87, Октябрьский, Самара, Самарская область",32.0,5/5,2150000,1,5.0,1962.0
"Кромская д.4, Кировский, Самара, Самарская область",125.0,2/10,6600000,3,10.0,2007.0
"Самара, Береговая улица, 8В, Промышленный, Самара, Самарская область",49.0,1/3,2000000,1,3.0,1972.0
"Самара, улица Стара Загора, 181, Кировский, Самара, Самарская область",59.8,9/9,3450000,3,9.0,1974.0
"Россия, Самарская область, Самара, Свободы ул, 152а, Кировский, Самара, Самарская область",30.0,1/2,1400000,1,,
