"Санкт-Петербург, ул.Шелгунова, д. 8, Обуховский округ, Санкт-Петербург",46.0,4/5,2,3900000,2,5,1961
"Санкт-Петербург, Пионерская улица, 50, Петровский округ, Санкт-Петербург",86.0,7/10,4,16950000,3,14,2012
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",102.2,3/26,6,15300000,3,26,2017
"Ул. ТАВРИЧЕСКАЯ 15 кв. 15, Смольнинское, Санкт-Петербург",128.0,4/5,8,31900000,3,5,1916
"Санкт-Петербург, Воронежская улица, 84Б, Волковское, Санкт-Петербург",42.0,2/5,9,6950000,1,5,1902
"Санкт-Петербург, Пулковская улица, 2к1, Звёздное, Санкт-Петербург",168.0,11/16,11,15700000,4,16,2009
"Реки Фонтанки наб, 28, Литейный округ, Санкт-Петербург",78.2,3/5,13,22500000,2,5,1831
"улица Бабушкина, 66к1, Обуховский округ, Санкт-Петербург",45.9,3/5,14,3970000,2,5,1961
"Стачек пр-кт, 92к3, Автово, Санкт-Петербург",226.0,8/8,19,29000000,4,11,2011
"Санкт-Петербург, Комендантский проспект, 50к1, Юнтолово, Санкт-Петербург",44.8,7/7,21,4900000,1,10,2001
"Санкт-Петербург, улица Щербакова, 29к1, Коломяги, Санкт-Петербург",80.9,6/9,22,8295000,3,9,2003
"Санкт-Петербург, Пионерская улица, 50, Петровский округ, Санкт-Петербург",86.0,7/10,29,16950000,3,14,2012
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",102.2,3/26,31,15300000,3,26,2017
"Ул. ТАВРИЧЕСКАЯ 15 кв. 15, Смольнинское, Санкт-Петербург",128.0,4/5,34,31900000,3,5,1916
"Санкт-Петербург, проспект Героев, 26к2, Южно-Приморский округ, Санкт-Петербург",78.9,8/17,35,7795000,3,17,2012
"Санкт-Петербург, Воронежская улица, 84Б, Волковское, Санкт-Петербург",42.0,2/5,37,6950000,1,5,1902
"Александровской Фермы проспект, 2, Обуховский округ, Санкт-Петербург",63.0,8/25,38,7950000,2,18,1991
"Санкт-Петербург, Пулковская улица, 2к1, Звёздное, Санкт-Петербург",168.0,11/16,39,15700000,4,16,2009
"Реки Фонтанки наб, 28, Литейный округ, Санкт-Петербург",78.2,3/5,43,22500000,2,5,1831
"Парголово п, Михаила Дудина ул, 23к1, Парголово, Санкт-Петербург",78.3,24/25,45,8150000,3,26,2011
"Санкт-Петербург, Ленинский проспект, 53к1, Южно-Приморский округ, Санкт-Петербург",43.4,17/17,46,3950000,1,17,2013
"Санкт-Петербург, Комендантский проспект, 50к1, Юнтолово, Санкт-Петербург",44.8,7/7,49,4900000,1,10,2001
"ул. Маршала Тухачевского, д. 23, Полюстрово, Санкт-Петербург",54.2,12/16,50,5325000,1,16,2017
"Санкт-Петербург, ул.Шелгунова, д. 8, Обуховский округ, Санкт-Петербург",46.0,4/5,52,3900000,2,5,1961
"Санкт-Петербург, 27-я линия В.О., 10, № 7, Санкт-Петербург",46.0,3/5,54,5970000,2,5,1897
"Санкт-Петербург, Ленинский проспект, 53к1, Южно-Приморский округ, Санкт-Петербург",43.4,17/17,55,3950000,1,17,2013
"Россия, Санкт-Петербург, Санкт-Петербург, Малая Монетная, 7, Посадский, Санкт-Петербург",42.0,3/5,57,6740000,2,5,1961
"Петергоф, Санкт-Петербург, Озерковая улица, 5, Петергоф, Санкт-Петербург",53.2,1/3,58,4700000,2,,
"посёлок Мурино, Всеволожский район, Ленинградская область, Петровский бульвар, 11к2, Санкт-Петербург",25.6,3/10,59,2930000,0,23,2016
"улица Бабушкина, 66к1, Обуховский округ, Санкт-Петербург",45.9,3/5,60,3970000,2,5,1961
"г.Санкт-Петербург, ул. Диагональная, д. 10, Сампсониевское, Санкт-Петербург",59.0,3/6,64,7500000,3,6,1926
"Стачек пр-кт, 92к3, Автово, Санкт-Петербург",226.0,8/8,66,29000000,4,11,2011
"Санкт-Петербург, улица Щербакова, 29к1, Коломяги, Санкт-Петербург",80.9,6/9,69,8295000,3,9,2003
"Лиственная улица, 18к1, Светлановское, Санкт-Петербург",104.6,1/25,70,10300000,3,25,2015
"Красносельское (Горелово) шоссе, 46, Горелово, Санкт-Петербург",32.7,1/5,78,3100000,1,5,1971
"Парголово п, Валерия Гаврилина ул, 3к2, Парголово, Санкт-Петербург",79.6,7/25,80,8500000,3,27,2012
"Нахимова ул., д.20, Гавань, Санкт-Петербург",42.0,9/18,83,6400000,1,25,2011
"Большая Зеленина ул., д.44/6, Чкаловское, Санкт-Петербург",69.0,4/4,84,10800000,2,4,1875
"ул Можайская, 15, Семёновский, Санкт-Петербург",97.0,1/5,88,10100000,3,5,1908
"Санкт-Петербург, Ленинский проспект, 147к2, Новоизмайловское, Санкт-Петербург",71.0,14/14,90,8500000,2,14,2010
"Санкт-Петербург, набережная Чёрной речки, 12, Чёрная речка, Санкт-Петербург",64.2,5/5,93,7780000,2,6,1959
"Санкт-Петербург, улица Коммуны, 52, Ржевка, Санкт-Петербург",67.5,4/4,95,6825000,2,4,1955
"Парголово п., Заречная ул., д.33, к.1, Парголово, Санкт-Петербург",22.2,9/27,96,3200000,0,27,2017
"Россия, Санкт-Петербург, Санкт-Петербург, Наставников проспект, 6, Пороховые, Санкт-Петербург",58.0,4/9,98,5200000,3,9,1982
"Санкт-Петербург, улица Корнеева, 12, Нарвский округ, Санкт-Петербург",56.7,5/5,101,6599000,2,5,1955
"Среднеохтинский проспект, 28 Панфилова, 17, Большая Охта, Санкт-Петербург",76.0,2/4,102,8500000,3,3,1949
"Санкт-Петербург, Арцеуловская аллея, 23к1, Коломяги, Санкт-Петербург",24.2,7/11,103,3375000,0,21,2017
"Россия, Санкт-Петербург, Динамовская улица, д.2, Чкаловское, Санкт-Петербург",168.7,2/7,104,58000000,4,7,2005
"Санкт-Петербург, Союзный проспект, 4, Правобережный, Санкт-Петербург",33.0,13/15,105,4650000,1,15,2014
"Санкт-Петербург, Богатырский проспект, 56к1, № 65, Санкт-Петербург",62.6,8/18,106,8540000,2,18,2010
