adress,area,floor,price,rooms,total_floors,year,lat,lon
"Санкт-Петербург, 9-я Советская улица, 39/24, Смольнинское, Санкт-Петербург",132.0,5/7,1467,11500000,4,6,1911,59.935813
"Санкт-Петербург, Суворовский проспект, 30, Смольнинское, Санкт-Петербург",231.0,6/7,3037,24000000,9,,,59.93758
"Санкт-Петербург, Шуваловский проспект, 61к2, подъезд 3, Юнтолово, Санкт-Петербург",40.0,4/14,646,4900000,1,17,1998,60.024828
"Санкт-Петербург, Невский проспект, 131, Лиговка-Ямская, Санкт-Петербург",99.0,5/7,3776,12990000,3,5,1903,59.926264
"Санкт-Петербург, ул.Шелгунова, д. 8, Обуховский округ, Санкт-Петербург",46.0,4/5,2,3900000,2,5,1961,59.866739
"Санкт-Петербург, Захарьевская улица, 21, Литейный округ, Санкт-Петербург",118.2,2/6,4593,12560000,4,4,1898,59.947545
"Санкт-Петербург, набережная Обводного канала, 96, Московская застава, Санкт-Петербург",72.5,6/6,2219,6650000,4,6,1900,59.908218
"Санкт-Петербург, улица Красуцкого, 3М, Измайловское округ, Санкт-Петербург",92.0,9/16,5316,17500000,3,19,2015,59.903065
"Санкт-Петербург, Богатырский проспект, 56к1, № 65, Санкт-Петербург",57.0,5/18,3040,6500000,2,18,2010,60.008698
"Песочная наб, 18, Чкаловское, Санкт-Петербург",168.0,3/8,1471,45500000,3,11,2006,59.972775
"Россия, Санкт-Петербург, Корпусная улица, д.9, Чкаловское, Санкт-Петербург",75.0,4/10,647,18000000,1,12,2013,59.962751
"Санкт-Петербург, Пионерская улица, 50, Петровский округ, Санкт-Петербург",86.0,7/10,4,16950000,3,14,2012,59.963539
"Санкт-Петербург, улица Маршала Новикова, 2к1, Озеро Долгое, Санкт-Петербург",52.2,1/12,3777,5600000,2,12,1987,60.009206
"посёлок Мурино, Всеволожский район, Ленинградская область, Воронцовский бульвар, 12, Санкт-Петербург",25.7,16/22,5320,2820000,0,23,2016,60.057967
"Санкт-Петербург, улица Оптиков, 45к2, № 65, Санкт-Петербург",36.7,6/25,2220,3850000,0,25,2009,59.999287
"Санкт-Петербург, Загородный проспект, 12, Владимирский округ, Санкт-Петербург",105.0,4/5,4598,10200000,3,5,1880,59.926684
"Санкт-Петербург, Парашютная улица, 56к2, Коломяги, Санкт-Петербург",39.0,19/19,3044,4690000,1,19,2014,60.063464
"Пушкин, Санкт-Петербург, Красносельское шоссе, 48/60, Пушкин, Санкт-Петербург",47.5,4/5,648,5000000,1,5,2003,59.704106
"Санкт-Петербург, Московский проспект, 106, Московская застава, Санкт-Петербург",66.4,2/7,1475,7500000,2,7,1938,59.894513
"Санкт-Петербург, Туристская улица, ,10, № 65, Санкт-Петербург",80.0,14/16,2221,11000000,2,16,2007,59.99701
"Санкт-Петербург, улица Бурцева, 3, Ульянка, Санкт-Петербург",42.1,3/5,3780,3750000,3,5,1968,59.835311
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",102.2,3/26,6,15300000,3,26,2017,59.822711
"Россия обл Ленинградская, р-н Всеволожский, п Мурино, ул Шоссе в Лаврики, д. 55, корп. 0, Санкт-Петербург",28.0,3/17,4600,2820000,0,18,2016,60.059459
"Санкт-Петербург, Варшавская улица, 19к5, Новоизмайловское, Санкт-Петербург",55.0,8/8,5323,9988000,2,20,2009,59.873735
"Санкт-Петербург, Парашютная улица, 56к3, Коломяги, Санкт-Петербург",85.6,9/19,3046,7100000,3,19,2014,60.063464
"Санкт-Петербург, проспект Просвещения, 43, № 15, Санкт-Петербург",112.5,24/25,1476,11915000,3,29,2017,60.053952
